color	value
#20B2AA	#20B2AA
#3D7273	#3D7273
#0000FF	#0000FF
#9370DB	#9370DB
#FF3399	#FF3399
#7CFC00	#7CFC00
#FFFF00	#FFFF00
#FF00FF	#FF00FF
#FA8072	#FA8072
#7B68EE	#7B68EE
#9400D3	#9400D3
#800080	#800080
#A0522D	#A0522D
#D2B48C	#D2B48C
#D2691E	#D2691E
#87CEEB	#87CEEB
#40E0D0	#40E0D0
#5F9EA0	#5F9EA0
#FF1493	#FF1493
#0000CD	#0000CD
#008B8B	#008B8B
#FFA500	#FFA500
#00FFFF	#00FFFF
#EE82EE	#EE82EE
#F08080	#F08080
#808000	#808000
#7B68EE	#7B68EE
#D0D03D	#D0D03D
#C24C5D	#C24C5D
#0AB8FF	#0AB8FF
#B6FD70	#B6FD70
#2B5700	#2B5700
#10E388	#10E388
#808080	#808080
#FF7C04	#FF7C04
